RecordID,Date,Time,Region,Country,Category,SubCategory,Product,UnitsSold,Revenue,Cost,Profit,DiscountPercent,CustomerRating,DeliveryDays
70,2025-03-12,14:30,South,India,Furniture,Table,Table C,8,120000,85000,35000,4.5,3.9,6
71,2025-03-13,15:30,North,India,Electronics,Mobile,Phone D,10,220000,165000,55000,5.0,4.2,3
72,2025-03-14,16:30,East,India,Electronics,Laptop,Laptop D,6,480000,380000,100000,6.0,4.5,5
73,2025-03-15,17:30,West,India,Office Supplies,Paper,Note Pad,85,17000,11000,6000,2.0,4.8,2
74,2025-03-16,09:00,South,India,Office Supplies,Pen,Marker A,95,19000,12000,7000,4.0,4.2,1
75,2025-03-17,10:00,North,India,Furniture,Chair,Chair D,17,68000,45000,23000,10.0,4.0,4
76,2025-03-18,11:00,East,India,Furniture,Table,Table D,9,135000,100000,35000,7.0,4.1,6
77,2025-03-19,12:00,West,India,Electronics,Mobile,Phone E,12,264000,210000,54000,4.0,4.5,3
78,2025-03-20,13:00,South,India,Electronics,Laptop,Laptop E,5,450000,380000,70000,8.0,4.3,5
79,2025-03-21,14:00,North,India,Office Supplies,Paper,Glossy Paper,40,20000,14000,6000,3.0,4.5,2
80,2025-03-22,15:00,East,India,Office Supplies,Pen,Marker B,80,16000,10000,6000,2.5,4.1,1
81,2025-03-23,16:00,West,India,Furniture,Chair,Chair E,20,80000,55000,25000,9.0,3.8,4
82,2025-03-24,17:00,South,India,Furniture,Table,Table E,7,105000,75000,30000,6.0,4.0,6
83,2025-03-25,09:30,North,India,Electronics,Mobile,Phone F,14,280000,220000,60000,5.5,4.4,3
84,2025-03-26,10:30,East,India,Electronics,Laptop,Laptop F,4,400000,330000,70000,7.0,4.2,5
85,2025-03-27,11:30,West,India,Office Supplies,Paper,Card Stock,30,15000,10000,5000,2.0,4.6,2
86,2025-03-28,12:30,South,India,Office Supplies,Pen,Highlighter,90,18000,11000,7000,3.5,4.3,1
87,2025-03-29,13:30,North,India,Furniture,Chair,Chair F,22,88000,62000,26000,8.0,4.1,4
88,2025-03-30,14:30,East,India,Furniture,Table,Table F,6,90000,65000,25000,5.0,3.9,6
89,2025-03-31,15:30,West,India,Electronics,Mobile,Phone G,11,231000,175000,56000,4.5,4.3,3
90,2025-04-01,16:30,South,India,Electronics,Laptop,Laptop G,5,475000,390000,85000,6.0,4.4,5
91,2025-04-02,17:30,North,India,Office Supplies,Paper,Photo Paper,25,12500,8000,4500,4.0,4.4,2
92,2025-04-03,09:00,East,India,Office Supplies,Pen,Gel Pen,140,28000,19000,9000,3.0,4.2,1
93,2025-04-04,10:00,West,India,Furniture,Chair,Chair G,18,72000,48000,24000,10.0,4.0,4
94,2025-04-05,11:00,South,India,Furniture,Table,Table G,8,128000,95000,33000,7.5,4.1,6
95,2025-04-06,12:00,North,India,Electronics,Mobile,Phone H,16,320000,245000,75000,5.0,4.7,3
96,2025-04-07,13:00,East,India,Electronics,Laptop,Laptop H,6,540000,450000,90000,6.5,4.3,5
97,2025-04-08,14:00,West,India,Office Supplies,Paper,Legal Paper,70,42000,30000,12000,3.0,4.8,2
98,2025-04-09,15:00,South,India,Office Supplies,Pen,Rollerball,100,20000,13000,7000,3.5,4.3,1
99,2025-04-10,16:00,North,India,Furniture,Chair,Chair H,15,60000,42000,18000,9.0,3.9,4
100,2025-04-11,17:00,East,India,Furniture,Table,Table H,10,150000,110000,40000,5.5,4.2,6
